title,location,weather
"Minute pas
                    minute",Location not found,Invalid location
"Zef Brozi: Pandëshkueshmëria për aktin terrorist të 21 janarit vazhdon, zvarritja e hetimeve mbron krimet e Sali Berishës",Location not found,Invalid location
"Shkarkoi drejtorin e Ujësjellës-Kanalizimeve, ish-kryebashkiaku i Shkodrës, Bardh Spahia merret i pandehur nga SPAK! Ja për çfarë akuzohet (VIDEO)",Location not found,Invalid location
"Trafik kokaine nga Amerika e Jugut në Europë, goditet grupi i Suel Çelës! Paratë e drogës me autobusë nga Breshia në Elbasan! 5 arrestohen në Shqipëri, 1 në Spanjë, 1 në kërkim (EMRAT)",Elbasan,"{'temperature': 8.23, 'description': 'light rain'}"
"Zgjedhjet e 11 majit/ KQZ tregon se sa të mbyllura do të jenë listat: Për çdo parti, 46 deputetët e parë janë të fiksuar",Location not found,Invalid location
'Vrasjet e '21 Janarit' të qarta si drita e diellit' Rama: Çdo vit që kalon pa drejtësi njollos reformën e shton barrën e turpit mbi këdo që duhet ta japë,Location not found,Invalid location
"Tiranë/ Zjarr në katin e tetë të një pallati, policia evakuon banorët (VIDEO)",Tiranë,"{'temperature': 8.51, 'description': 'moderate rain'}"
"Xhaxhai i Aleks Nikës: Politika ende i konsideron viktimat e '21 Janarit' si ‘mish për top'! Saliu e Basha thanë ne i vramë, duam të dimë pse!  SPAK e ka marrë seriozisht hetimin",Location not found,Invalid location
"Rama në Davos takon përfaqësuesen e TikTok për Europën: Do rihapet shumë shpejt, por vetëm me garancitë e nevojshme",Location not found,Invalid location
Zgjedhjet/ Report Tv zbardh propozimet e PD për ndryshimet në Kod: Të votojnë emigrantët me ID ose pasaporta të huaja,Location not found,Invalid location
"Një 'qytet' 1 mld dollarësh vetëm për sportin afër Tiranës, ëndrra e KOKSH me hapa konkretizimi! Fidel Ylli për Report Tv: Po gjejmë fondet",Tiranë,"{'temperature': 8.51, 'description': 'moderate rain'}"
"Dhuna në oborrin mbretëror, Gjykata dënon me 1 vit burg Princ Lekën i konvertohet në shërbim prove! Pafajësi për Elia Zaharinë! Pezullohet me kusht dënimi për të atin, Gjergjin",Location not found,Invalid location
"Prova e fortë në duart e SPAK! Audio e urdhrit për të qëlluar me plumba realë mbi protestuesit e 21 janarit, a do i tregojë eprorët Ndrea Prendi?!",Location not found,Invalid location
"Tjetër rezultat mbreslënës i Lara Colturit, e 4 në botërorin e skive! Podiumi ikën vetëm për disa të qintat",Location not found,Invalid location
"Vrasjet më 21 janar, Berisha i kthehet akuzave të vjetra: Ina Rama 'puçiste', Edi Rama kërkoi pushtetin me dhunë",Location not found,Invalid location
"14 vite nga krimi shtetëror i 21 janarit! Dosja në duart e SPAK, do zbardhë rolin e Berishës dhe Bashës! Provat e Strasburgut që rihapën hetimet",Location not found,Invalid location
"Berisha me sytë nga Donald Trump për ""non gratën"", por në festë ishte Lulzim Basha! Takime me zyrtarë USA për forcimin e bashkëpunimit strategjik",Location not found,Invalid location
"Masakra e 1997 në Kuçovë ku u vranë 4 policë, SPAK kërkon burg përjetë për Fran Marashin",Location not found,Invalid location
"Të gjithë të 'çmendur' pas talentit shkodran të Kombëtares, katër...",Location not found,Invalid location
"‘Mbi 1 trilion $ në inaugurimin e Trump’, ja cilët miliarderë...",Location not found,Invalid location
"Athinë/ Kryepiskopi Anastas në gjendje kritike, dy Mitropolitët e...",Location not found,Invalid location
Lajme te tjera,Location not found,Invalid location
“Qytetarët po paguajnë më shumë sigurimin e makinave!” Braçe: AMF të vijë të japë sqarime në Kuvend!,Location not found,Invalid location
Aktivitete kulturore/ 'Hare në dhimbje' shfaqja në Teatrin Eksperimental! 'Ëndërr në papafingo' komedia në teatrin Skampa,Location not found,Invalid location
Marco Rubio betohet si Sekretar i Shtetit,Location not found,Invalid location
"VIDEO/ Cristiano Ronaldo shënon nga jashtë zone, i afrohet rekordit absolut",Location not found,Invalid location
"Zyrtare/ Teuta shkarkon Edi Martinin, durrsakët gjejnë trajnerin e ri",Location not found,Invalid location
Opinion,Location not found,Invalid location
Enver Robelli: Sërish vjen 10 shkurti,Location not found,Invalid location
"Lorenc Vangjeli: SPAK, ndëshkimi penal dhe zgjidhja politike",Location not found,Invalid location
"Ylli Pata: 2024, viti i rënies së Ilir Metës",Location not found,Invalid location
Ilir Yzeiri: Një vit që ikën dhe një tjetër që vjen,Location not found,Invalid location
"Jakin Marena: ‘Skifterët’ në PD, ‘babi i Zenit’ dhe tundja e belit në K’cimin e ‘Berishës’",Location not found,Invalid location
Lajme te tjera,Location not found,Invalid location
"Çarja e ujëmbledhësit të HEC në Bunec, kryebashkiaku i Himarës Vangjel Tavo: U shkaktua nga mbingarkesa e ujit! Sot po punohet për vlerësimin e dëmeve",Location not found,Invalid location
"Itali/ Grupet shqiptare me taktikë të re, makina me qira për të trafikuar kokainën, 2 të arrestuar brenda natës!",Location not found,Invalid location
"Turqi/ Zjarri përfshin resortin e skive, 66 të vdekur dhe 51 të plagosur! Dyshime se erdhi nga restoranti (VIDEO)",Location not found,Invalid location
"Lajmërim publik për Belind Këlliçin: Keni një kallëzim për shpifje në Gjykatën Penale, e kotë të fshiheni si Çlirim Gjata!",Location not found,Invalid location
"A do shkojë në SPAK nëse thirret për 21 Janar? Berisha hesht e sulmon SPAK: Institucion politik, komandohet nga Rama",Location not found,Invalid location
"Shpërdori detyrën për vëllanë ndërtues, SPAK kërkon dënimin me 1.6 vite burg për ish-kryebashkiakun e Pogradecit Eduart Kapri",Location not found,Invalid location
